"","x"
"1","cpx"
"2","cpx"
"3","CASK"
"4","Cip4"
"5","Cip4"
"6","Clc"
"7","Clc"
"8","Csp"
"9","VAChT"
"10","l(2)gl"
"11","dl"
"12","dl"
"13","dlg1"
"14","Sdc"
"15","Sdc"
"16","Sdc"
"17","Sdc"
"18","Sdc"
"19","Sdc"
"20","Nrx-1"
"21","Nrx-1"
"22","Cip4"
"23","tkv"
"24","wg"
"25","Neto"
"26","Hsc70-4"
"27","Cul5"
"28","dl"
"29","dl"
"30","cpx"
"31","cact"
"32","l(2)gl"
"33","Pak"
"34","Cadps"
"35","Mob4"
"36","dlg1"
"37","Neto"
"38","312"
"39","dlg1"
"40","Sap47"
"41","Synd"
"42","Synd"
"43","SH3PX1"
"44","metro"
"45","Syx1A"
"46","wit"
"47","dlp"
"48","tkv"
"49","WASp"
"50","Sdc"
"51","Sdc"
"52","Sdc"
"53","veli"
"54","Mad"
"55","Scamp"
"56","Syb"
"57","Fas2"
"58","Fas2"
"59","GABA-B-R2"
"60","Hsc70-4"
"61","Syb"
"62","CASK"
"63","l(2)gl"
"64","tkv"
"65","Csp"
"66","GluRIIC"
"67","Cadps"
"68","CaMKII"
