"","x"
"1","Xpd"
"2","MED6"
"3","MED21"
"4","Tlk"
"5","Abd-B"
"6","Abd-B"
"7","Abd-B"
"8","Abd-B"
"9","Abd-B"
"10","Abd-B"
"11","Abd-B"
"12","Abd-B"
"13","toc"
"14","msk"
"15","Uba2"
"16","pav"
"17","piwi"
"18","crp"
"19","cpo"
"20","cad"
"21","Alh"
"22","exd"
"23","exd"
"24","exd"
"25","btz"
"26","kay"
"27","kay"
"28","kay"
"29","HnRNP-K"
"30","crc"
"31","bru1"
"32","bru1"
"33","Xpd"
"34","Trx-2"
"35","dap"
"36","dap"
"37","Adar"
"38","Fib"
"39","aft"
"40","pbl"
"41","aft"
"42","Scr"
"43","Art4"
"44","nos"
"45","Trap1"
"46","kto"
"47","RYBP"
"48","hfp"
"49","eve"
"50","eve"
"51","Nop60B"
"52","su(sable)"
"53","Vdup1"
"54","HDAC1"
"55","ebi"
"56","toc"
"57","Hr3"
"58","run"
"59","run"
"60","trh"
"61","trh"
"62","en"
"63","RanGAP"
"64","esg"
"65","mio"
"66","pbl"
"67","Deaf1"
"68","Adar"
"69","pont"
"70","usp"
"71","Orc1"
"72","rept"
"73","lgs"
"74","smt3"
"75","hb"
"76","for"
"77","pbl"
"78","peb"
"79","Ran"
"80","Torsin"
"81","MED31"
"82","MBD-like"
"83","MBD-like"
"84","dbe"
"85","HDAC1"
"86","Rcc1"
"87","Uba2"
"88","caz"
"89","Sce"
"90","jumu"
"91","repo"
"92","Snr1"
"93","PpD3"
"94","Orc2"
"95","312"
"96","Drice"
"97","pasha"
"98","Jra"
"99","Jra"
"100","bru1"
"101","bru1"
"102","LamC"
"103","LamC"
"104","Sap47"
"105","REG"
"106","Dronc"
"107","vis"
"108","Bgb"
"109","TBPH"
"110","mio"
"111","Mef2"
"112","Mef2"
"113","ninaB"
"114","crc"
"115","toc"
"116","esc"
"117","kay"
"118","kay"
"119","kay"
"120","cad"
"121","msk"
"122","Acn"
"123","eya"
"124","for"
"125","Hr3"
"126","msl-2"
"127","Moca-cyp"
"128","CycE"
"129","Lam"
"130","Lam"
"131","cas"
"132","Alh"
"133","Impbeta11"
"134","SoxN"
"135","SoxN"
"136","for"
"137","scra"
"138","skd"
"139","Myb"
"140","peb"
"141","ovo"
"142","ct"
"143","mago"
"144","Orc5"
"145","Taf10b"
"146","achi"
"147","nub"
"148","nub"
"149","Doc3"
"150","Prp3"
"151","ovo"
"152","nonA"
"153","lab"
"154","bru1"
"155","bru1"
"156","Pabp2"
"157","Mad"
"158","RPA3"
"159","sn"
"160","sn"
"161","Moca-cyp"
"162","Lam"
"163","Lam"
"164","Ntan1"
"165","Pdp1"
"166","zfh1"
"167","crc"
"168","slbo"
"169","slbo"
"170","Fs(2)Ket"
"171","Stat92E"
"172","scra"
"173","Pdp1"
"174","tay"
"175","aop"
"176","cic"
"177","Deaf1"
"178","Tlk"
"179","Hcf"
"180","retn"
"181","Bap111"
"182","mid"
"183","odd"
"184","klu"
"185","CrebA"
"186","jing"
"187","bin"
"188","mio"
"189","dimm"
"190","Klf15"
"191","so"
"192","run"
"193","run"
"194","Kr"
"195","Apc2"
"196","Ipk2"
"197","skd"
"198","ph-p"
"199","Tlk"
"200","HnRNP-K"
"201","toc"
