TargetID,TargetName,Accession,ID,Limma day matched,maSigPro day matched,Limma survival matched,maSigPro survival matched,day cluster,survival cluster,Abeta only maSigPro,control only maSigPro,Abeta PMCC,control PMCC,ab42_d3_5,ab42_d3_6,ab42_d3_7,ab42_d3_8,ab42_d10_13,ab42_d10_14,ab42_d10_15,ab42_d10_16,ab42_d20_21,ab42_d20_23,ab42_d20_24,ab42_80p_29,ab42_80p_30,ab42_80p_31,ab42_80p_32,ab42_20p_45,ab42_20p_47,ab42_20p_48,c51D_d3_1,c51D_d3_2,c51D_d3_3,c51D_d3_4,c51D_d10_9,c51D_d10_10,c51D_d10_11,c51D_d10_12,c51D_d20_17,c51D_d20_19,c51D_d20_20,c51D_80p_25,c51D_80p_26,c51D_80p_27,c51D_80p_28,c51D_20p_41,c51D_20p_43,c51D_20p_44
CG10026-RA,CG10026,FBgn0032785,ID100003922100031116,TRUE,TRUE,FALSE,FALSE,5,NA,FALSE,FALSE,NA,NA,10.49869978,10.4894543,10.39262812,10.57851428,10.72692889,10.54650725,10.67615124,10.68595279,10.86930524,10.9385582,10.66673587,10.90380056,10.78823206,10.76076398,10.96698268,11.1231205,11.25494191,10.40247367,10.87903374,10.61095881,10.76657058,10.89831178,11.19712949,10.89181243,11.45361401,11.82919659,11.36251438,11.65399709,11.23349951,10.84084106,10.55484258,10.93045549,11.00382008,10.62850909,10.90734304,10.67824821
CG10047-RA,Syt4,FBgn0028400,ID100003406001040901,FALSE,FALSE,FALSE,TRUE,NA,5,FALSE,TRUE,NA,0.74898802,11.78565013,11.7126198,11.95842642,11.66531973,11.18201564,11.28825745,11.51580199,11.33123805,11.54495367,11.21752076,11.61671794,11.34339541,10.99152706,11.45294215,11.27462514,11.44596286,11.19882384,11.39946419,11.82962137,11.76975124,11.7698071,11.4801995,11.27437689,11.35596661,11.59001051,11.20867344,11.60516104,11.30760417,11.51063809,11.37310629,11.16873015,11.26765352,11.00014082,10.97349868,10.82263371,11.17927811
CG10091-RA,GstD9,FBgn0038020,ID100003408701100902,FALSE,FALSE,TRUE,TRUE,NA,3,FALSE,TRUE,NA,-0.839053831,10.06844038,10.53306323,10.33878535,9.935631591,10.81203575,10.84950268,10.77610726,10.54691416,10.5733751,10.48748919,10.50742291,10.57203428,10.42466644,10.532927,10.21681608,10.70094891,10.49372264,10.67409326,9.958834287,10.25902,9.849257907,9.705211737,10.57826569,10.58614834,10.25016081,10.07529044,10.52660167,10.3185422,10.44696729,10.94881477,10.81195185,10.74198018,10.43239632,11.65054743,11.37064324,11.56012044
CG10098-RA,CG10098,FBgn0037472,ID100003409201000902,FALSE,FALSE,FALSE,TRUE,NA,5,FALSE,FALSE,NA,NA,9.106531704,8.983016368,9.085372114,9.394711338,8.606342397,8.89200147,9.062039681,8.964384842,8.502972042,9.276861298,8.872598699,8.818570317,8.771984625,9.052763267,9.081349458,8.608828064,8.912130527,8.869284818,9.436052915,9.362330428,9.282490278,9.386356256,8.959596131,9.177152262,9.01748191,9.18768058,8.487368509,9.2285912,9.02602734,9.118180412,8.962466623,9.128941128,9.210842994,8.726963677,8.947267198,8.705739295
CG10126-RA,CG10126,FBgn0038088,ID100003410601081303,FALSE,FALSE,TRUE,TRUE,NA,3,FALSE,TRUE,NA,-0.897122564,9.941172905,9.879469686,9.827072131,9.325450777,10.01898302,9.87345553,10.01543876,10.00898662,9.864498364,10.39941562,9.97699605,10.53986578,10.04564036,10.39872664,10.16103927,10.65917208,10.59051719,10.33443401,10.22502823,9.814209426,9.721948255,9.376914877,10.00701939,9.811064372,9.649201394,9.768358325,10.41590123,10.30721327,10.26292644,11.62447826,10.80340087,11.14398701,10.83562709,11.3925287,11.47454584,11.01824506
CG10131-RA,CG10131,FBgn0033949,ID100003411101100308,FALSE,TRUE,FALSE,FALSE,4,NA,FALSE,TRUE,NA,-0.54142194,10.09972355,10.25411919,10.04035854,9.928323387,11.01787102,10.63583171,10.71602169,10.55820325,10.4622934,10.93575068,10.43720039,10.5600351,10.38154759,10.90426937,10.32489597,10.53314755,10.70806065,10.43038574,9.940899717,10.04432554,9.788564063,9.943387738,10.69746732,10.33738439,10.53855811,10.46452945,10.72303299,10.72783889,10.57949348,10.70774228,10.40365902,10.87389565,10.56927604,10.4000697,11.19240068,10.91777863
CG10142-RA,Ance-5,FBgn0035076,ID100003432800081302,FALSE,TRUE,FALSE,FALSE,5,NA,TRUE,FALSE,-0.426281036,NA,10.63692552,10.71577249,10.93063702,10.70030725,11.52702998,11.27155637,11.36908087,11.4046904,11.34079513,11.25804724,11.26397357,11.43031961,11.46822239,11.54241742,10.97999042,11.42970451,11.5208443,11.16064835,10.90781835,11.05342827,10.65690462,10.78839554,12.07318024,11.56406558,11.39541403,11.67309319,11.6489276,11.61842979,11.43699685,11.33714169,11.44023553,11.22293645,11.15083232,11.07343624,11.31194178,10.94581239
CG10146-RA,AttA,FBgn0012042,ID100003923502110315,FALSE,FALSE,TRUE,TRUE,NA,3,FALSE,FALSE,NA,NA,10.58817878,10.38030178,10.51371341,10.58507278,10.76962395,10.86689543,10.68843754,10.40510398,10.79540752,8.90681748,11.38764132,11.39038996,11.02336708,10.74914769,10.69426386,12.93506269,12.7689185,12.09643805,10.76340481,13.79657813,10.92206697,11.43436764,11.20156298,11.0769087,11.04184266,11.47299538,12.56316099,9.573081255,13.81036565,13.20394191,13.43009404,13.87571487,13.70824554,14.09099658,14.84963098,14.32111004
CG10149-RB,Rpn6,FBgn0028689,ID100003923702070315,FALSE,FALSE,FALSE,TRUE,NA,3,FALSE,TRUE,NA,-0.818223867,11.21817019,11.29910495,11.33181414,11.12179157,11.4463401,11.3735905,11.33032371,11.35666168,11.39253596,11.39655204,11.57905855,11.44070793,11.40837161,11.46700702,11.09331883,11.25854298,11.74503995,11.61209296,11.23620682,11.35505663,11.21881505,11.19408264,11.44775646,11.31400239,11.12552307,11.05921808,11.62577331,11.32411226,11.5070986,11.67882382,11.54495312,11.6550719,11.58293398,11.73856478,11.93841402,11.68427017
CG10152-RA,beat-IV,FBgn0039089,ID100003923902030315,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,TRUE,NA,0.695550093,9.171958418,9.226072681,9.413666291,9.343086588,8.833850224,9.065358729,9.162327886,9.417502917,9.257604564,8.971711677,9.386482187,8.959595932,8.959015147,9.199848911,9.202848461,8.786017999,8.872295424,9.14489897,9.452101393,9.330277593,9.333936757,9.272475851,8.990956589,9.131745435,9.088216334,9.186055885,9.365623569,9.023882701,9.140301498,9.042691147,9.181514417,9.172568639,9.015793286,8.74931281,8.696041016,8.880932002
