"","x"
"1","hep"
"2","Dys"
"3","Sema1a"
"4","Sema1a"
"5","Fmr1"
"6","wrd"
"7","14-3-3zeta"
"8","SCAR"
"9","stai"
"10","stai"
"11","wrd"
"12","14-3-3zeta"
"13","Sdc"
"14","Sdc"
"15","Sdc"
"16","Kap-alpha3"
"17","Sdc"
"18","Sdc"
"19","Sdc"
"20","gish"
"21","gish"
"22","Nrx-1"
"23","Nrx-1"
"24","tau"
"25","otk"
"26","plx"
"27","betaTub56D"
"28","SCAR"
"29","bsk"
"30","bsk"
"31","RapGAP1"
"32","trio"
"33","Sos"
"34","unc-5"
"35","Pak"
"36","Appl"
"37","caps"
"38","312"
"39","nwk"
"40","drl"
"41","Abi"
"42","dock"
"43","Syx1A"
"44","SCAR"
"45","wrd"
"46","dlp"
"47","arm"
"48","Dg"
"49","hep"
"50","Nrg"
"51","chb"
"52","NetA"
"53","tau"
"54","Sdc"
"55","Sdc"
"56","Sdc"
"57","Mkk4"
"58","Scamp"
"59","betaTub56D"
"60","stai"
"61","stai"
"62","alphaTub84B"
"63","gish"
"64","Fas2"
"65","Fas2"
"66","Wnt5"
"67","Bace"
"68","Fmr1"
"69","ena"
"70","otk"
"71","caps"
"72","plx"
"73","tau"
"74","Gprk2"
"75","CaMKII"
