"","x"
"1","cact"
"2","Fas2"
"3","dlg1"
"4","l(2)gl"
"5","Syb"
"6","tkv"
"7","Csp"
"8","Sdc"
"9","Mad"
"10","Sap47"
"11","Syx1A"
"12","CASK"
"13","wit"
"14","WASp"
"15","Clc"
"16","Kap-alpha3"
"17","GABA-B-R2"
"18","Cip4"
"19","Nrx-1"
"20","veli"
"21","Cul5"
"22","Scamp"
"23","SH3PX1"
"24","dlp"
"25","cpx"
"26","GluRIIC"
"27","metro"
"28","Synd"
"29","Cadps"
"30","Mob4"
"31","dl"
"32","CaMKII"
"33","Neto"
"34","Hsc70-4"
"35","Pak"
"36","VAChT"
"37","wg"
"38","312"
