"","x"
"1","cpx"
"2","cpx"
"3","wrd"
"4","CASK"
"5","Cip4"
"6","aPKC"
"7","Pax"
"8","Pax"
"9","Cip4"
"10","Clc"
"11","Clc"
"12","Csp"
"13","VAChT"
"14","l(2)gl"
"15","wrd"
"16","dl"
"17","dl"
"18","Nrx-IV"
"19","dlg1"
"20","Sdc"
"21","Sdc"
"22","Sdc"
"23","Kap-alpha3"
"24","Sdc"
"25","Sdc"
"26","Sdc"
"27","Dap160"
"28","Nrx-1"
"29","Nrx-1"
"30","Cip4"
"31","tkv"
"32","RhoGAP100F"
"33","wg"
"34","Neto"
"35","Hsc70-4"
"36","brp"
"37","Fas3"
"38","cora"
"39","lqf"
"40","Atpalpha"
"41","Cul5"
"42","dl"
"43","dl"
"44","Pax"
"45","Pax"
"46","cpx"
"47","cact"
"48","l(2)gl"
"49","Pak"
"50","Cadps"
"51","Mob4"
"52","dlg1"
"53","Neto"
"54","312"
"55","nwk"
"56","dlg1"
"57","Sap47"
"58","Synd"
"59","Synd"
"60","SH3PX1"
"61","Pax"
"62","Pax"
"63","metro"
"64","lqf"
"65","Syx1A"
"66","par-6"
"67","wit"
"68","wrd"
"69","dlp"
"70","Rab3"
"71","Rab3"
"72","tkv"
"73","arm"
"74","scra"
"75","Ube3a"
"76","WASp"
"77","Sdc"
"78","Sdc"
"79","Sdc"
"80","veli"
"81","Fas3"
"82","Mad"
"83","Syngr"
"84","Scamp"
"85","Syb"
"86","Strip"
"87","Strip"
"88","Fas2"
"89","Fas2"
"90","shi"
"91","GABA-B-R2"
"92","scra"
"93","baz"
"94","ena"
"95","Hsc70-4"
"96","Syb"
"97","cora"
"98","CASK"
"99","l(2)gl"
"100","Apc2"
"101","Atpalpha"
"102","EndoA"
"103","cno"
"104","tkv"
"105","Csp"
"106","Pax"
"107","Pax"
"108","GluRIIC"
"109","Cadps"
"110","CaMKII"
