"","x"
"1","eIF3e"
"2","Stt3B"
"3","twr"
"4","Fpps"
"5","CRMP"
"6","Prp19"
"7","Sec13"
"8","dco"
"9","RnrL"
"10","KdelR"
"11","SsRbeta"
"12","Cpsf100"
"13","COX7C"
"14","Nup107"
"15","Rpn6"
"16","Tsp96F"
"17","Srp54k"
"18","pic"
"19","Rad23"
"20","CG3040"
"21","UK114"
"22","eEF1delta"
"23","Cam"
"24","Cam"
"25","olf186-F"
"26","olf186-F"
"27","eIF3k"
"28","CG1572"
"29","CG1572"
"30","CG1572"
"31","CG1572"
"32","CG1572"
"33","CG5885"
"34","mRpL24"
"35","Atg8a"
"36","Manf"
"37","CG6084"
"38","CG6084"
"39","Prosbeta5"
"40","mRpL44"
"41","thoc7"
"42","CG3226"
"43","SmB"
"44","AP-1sigma"
"45","sqh"
"46","Nlp"
"47","Arfrp1"
"48","endos"
"49","CG7970"
"50","elm"
"51","vnc"
"52","CG9527"
"53","Nhe3"
"54","Nhe3"
"55","CD98hc"
"56","CG33090"
"57","CG9384"
"58","Tsr1"
"59","CG8311"
"60","Eaat1"
"61","Rpn2"
"62","CG10747"
"63","Cyp9b1"
"64","VhaM9.7-b"
"65","CG9240"
"66","Lmpt"
"67","RpL34a"
"68","CG4593"
"69","Jheh2"
"70","Su(P)"
"71","CG14977"
"72","JTBR"
"73","CG17221"
"74","CG1674"
"75","CG1674"
"76","CG1674"
"77","CG31121"
"78","CG43066"
"79","Mco1"
"80","Mco1"
"81","Mco1"
"82","CG15651"
"83","PTPMT1"
"84","CG16787"
"85","CG4042"
"86","Prosbeta1"
"87","TpnC4"
"88","Aldh-III"
"89","Aldh-III"
"90","mRpL2"
"91","CG8320"
"92","Rab39"
"93","Rab39"
"94","alphaTub85E"
"95","EndoB"
"96","Lac"
"97","CG7523"
"98","CG30423"
"99","CG30423"
"100","Csas"
"101","app"
"102","ics"
"103","sdt"
"104","Pde8"
"105","rl"
"106","Dys"
"107","Gel"
"108","PIG-V"
"109","Mmp1"
"110","Mmp1"
"111","Dmtn"
"112","Dmtn"
"113","Ptp4E"
"114","CG5021"
"115","CG14646"
"116","lt"
"117","SelR"
"118","Sema1a"
"119","Sema1a"
"120","Lmpt"
"121","ps"
"122","cher"
"123","jp"
"124","jp"
"125","jp"
"126","ema"
"127","LpR2"
"128","Fmr1"
"129","yata"
"130","St3"
"131","Vps35"
"132","CG9304"
"133","CG9304"
"134","drd"
"135","sm"
"136","CG40485"
"137","Zasp52"
"138","Zasp52"
"139","Asap"
"140","CG3699"
"141","CG6415"
"142","PIP4K"
"143","PIP4K"
"144","capt"
"145","Neurochondrin"
"146","CG3862"
"147","RpII33"
"148","cpx"
"149","cpx"
"150","wdb"
"151","CG33506"
"152","mtt"
"153","mtt"
"154","mtt"
"155","CG10333"
"156","SelR"
"157","shep"
"158","CAP"
"159","Vha100-1"
"160","CG12038"
"161","Dis3l2"
"162","hoe1"
"163","CG11414"
"164","stck"
"165","nrv3"
"166","Tm2"
"167","Tm2"
"168","Tm2"
"169","AnxB9"
"170","AnxB9"
"171","Eip71CD"
"172","CG18003"
"173","CASK"
"174","disp"
"175","Cip4"
"176","Sh"
"177","Ekar"
"178","GluRIA"
"179","ECSIT"
"180","CG5830"
"181","enc"
"182","Rox8"
"183","Lamp1"
"184","GCC185"
"185","Pdxk"
"186","alc"
"187","CG15111"
"188","wun2"
"189","CRMP"
"190","CG13248"
"191","CG10171"
"192","Ide"
"193","Roe1"
"194","CG9514"
"195","CG7378"
"196","CG7378"
"197","Act88F"
"198","NTPase"
"199","CG1640"
"200","CG1640"
"201","Rpn13"
"202","app"
"203","klhl10"
"204","Rpn3"
"205","Ntl"
"206","TrpRS"
"207","RhoGAP92B"
"208","CG3500"
"209","beta4GalT7"
"210","RpS29"
"211","CG5103"
"212","eIF3b"
"213","CG6479"
"214","Idh"
"215","ZnT35C"
"216","Taz"
"217","CCT5"
"218","ThrRS"
"219","CG33116"
"220","sgg"
"221","CG16790"
"222","beg"
"223","CG5174"
"224","Sc2"
"225","CG5608"
"226","Rpt3"
"227","Octbeta2R"
"228","CG10383"
"229","CG6230"
"230","CG2930"
"231","msk"
"232","Kap-alpha1"
"233","CG30392"
"234","Zw"
"235","Hsp60A"
"236","boss"
"237","boss"
"238","Bub3"
"239","CG9330"
"240","vari"
"241","PyK"
"242","CG5001"
"243","Edem2"
"244","aPKC"
"245","Tom70"
"246","CG6766"
"247","eIF4H1"
"248","dare"
"249","Rat1"
"250","Irk2"
"251","Irk2"
"252","Irk2"
"253","CG40485"
"254","Hexo1"
"255","Dp"
"256","Dp"
"257","Rab32"
"258","numb"
"259","Wdr62"
"260","Wdr62"
"261","RpS11"
"262","COX6B"
"263","cpo"
"264","CG14207"
"265","CG32441"
"266","Vha14-1"
"267","numb"
"268","CG30423"
"269","CG30423"
"270","Cdc37"
"271","CG2064"
"272","Karybeta3"
"273","Pax"
"274","Pax"
"275","Sugb"
"276","CG6154"
"277","CNT1"
"278","bol"
"279","Sirup"
"280","ND-MWFE"
"281","Aldh-III"
"282","Aldh-III"
"283","CG32441"
"284","Rab21"
"285","COX6B"
"286","14-3-3zeta"
"287","RpL23"
"288","RpL29"
"289","mRpL13"
"290","ox"
"291","ND-MNLL"
"292","Mlc-c"
"293","COX7A"
"294","lectin-29Ca"
"295","ATPsynepsilonL"
"296","Drip"
"297","CSN7"
"298","c-cup"
"299","Tctp"
"300","Cka"
"301","Cip4"
"302","mnd"
"303","CG7582"
"304","Eps-15"
"305","MCU"
"306","Ilk"
"307","bbc"
"308","SCAR"
"309","Nurf-38"
"310","up"
"311","Ggamma30A"
"312","CG3262"
"313","mGluR"
"314","ATPsynbeta"
"315","ens"
"316","ens"
"317","ens"
"318","Spred"
"319","Arp2"
"320","Wbp2"
"321","CG4678"
"322","Myo61F"
"323","CG42540"
"324","CG17691"
"325","CG17715"
"326","RpS15Ab"
"327","CG5903"
"328","ND-PDSW"
"329","mRpL12"
"330","mRpL10"
"331","CG7382"
"332","CIA30"
"333","Ntf-2"
"334","CG14715"
"335","ND-23"
"336","RpL17"
"337","Clc"
"338","Clc"
"339","CG11899"
"340","eIF2Balpha"
"341","CG11007"
"342","Prosbeta3"
"343","RpL11"
"344","Ho"
"345","CG12935"
"346","CG9248"
"347","CG3630"
"348","SkpA"
"349","CG1271"
"350","CG10068"
"351","Nipsnap"
"352","Cdk5"
"353","RhoGAP68F"
"354","stmA"
"355","Pp1-87B"
"356","Snap29"
"357","Tsp97E"
"358","Wwox"
"359","RhoGAP71E"
"360","CG5890"
"361","sun"
"362","GLS"
"363","Csp"
"364","CG34242"
"365","DIP-epsilon"
"366","DIP-epsilon"
"367","5-HT1B"
"368","Nost"
"369","CG4462"
"370","Surf1"
"371","RpL13"
"372","btz"
"373","prel"
"374","put"
"375","put"
"376","RpLP2"
"377","CG18858"
"378","Axs"
"379","CG14669"
"380","Rpt4"
"381","CG5028"
"382","CG13510"
"383","CG5946"
"384","Alr"
"385","ND-B14.5A"
"386","CG10616"
"387","sm"
"388","CG32809"
"389","CG32809"
"390","CG15629"
"391","Cyp313a1"
"392","Cyp313a1"
"393","CG12512"
"394","CG3841"
"395","vib"
"396","14-3-3epsilon"
"397","CG18747"
"398","CG10166"
"399","CG34293"
"400","Ufm1"
"401","kek6"
"402","kek6"
"403","Est-6"
"404","Est-6"
"405","Ufm1"
"406","VAChT"
"407","RpS11"
"408","CG5196"
"409","RanBPM"
"410","Ced-12"
"411","NAAT1"
"412","PHGPx"
"413","Rtnl1"
"414","Rtnl1"
"415","Rtnl1"
"416","mtd"
"417","mtd"
"418","Papss"
"419","HnRNP-K"
"420","scramb1"
"421","Dsp1"
"422","Papss"
"423","fbp"
"424","sdt"
"425","Cp1"
"426","ND-ASHI"
"427","l(2)gl"
