,egg/oocyte,stem cell,imaginal tissue,anlage/primordium,sensory system ,nervous system ,circulatory system ,tracheal system ,digestive system ,adipose system ,endocrine system ,excretory system,reproductive system,integumentary system ,muscle system ,other anatomical entity
FBgn0283536,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
FBgn0263120,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
FBgn0014868,False,False,False,True,False,True,True,False,True,True,False,False,False,False,False,True
FBgn0036806,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
FBgn0035811,False,False,False,True,False,False,True,False,True,True,False,True,False,True,False,True
FBgn0031689,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,True
FBgn0036824,False,False,False,True,False,False,True,False,True,False,False,False,False,True,True,True
FBgn0039300,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
FBgn0010225,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,True
FBgn0004400,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,True
FBgn0001208,False,True,False,False,False,True,True,False,False,True,False,False,True,True,False,True
FBgn0264291,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True
FBgn0030613,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
FBgn0001217,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
FBgn0004045,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,True
FBgn0033005,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,True
FBgn0013276,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
FBgn0034645,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
FBgn0020765,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
FBgn0036760,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,True
FBgn0020236,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
FBgn0037298,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
FBgn0011581,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False
FBgn0038017,False,False,False,True,False,False,True,True,True,False,False,False,False,True,True,True
FBgn0011661,False,False,False,True,True,True,False,True,True,False,False,True,False,True,True,True
FBgn0027844,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True
FBgn0026415,True,False,True,True,False,True,True,True,True,True,True,False,True,True,False,True
FBgn0012051,False,False,False,True,False,True,True,False,True,True,False,False,True,True,False,True
FBgn0033989,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
FBgn0040070,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True
FBgn0027356,False,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True
FBgn0036623,False,False,False,True,False,False,True,True,True,False,True,False,False,True,False,True
FBgn0020443,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,True
FBgn0036820,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
FBgn0011640,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False,True
FBgn0031497,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
FBgn0015218,False,True,False,True,False,False,True,False,True,False,False,False,True,True,True,True
FBgn0010516,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,True
FBgn0050446,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
FBgn0032474,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
FBgn0033906,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True
FBgn0016119,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True
FBgn0040283,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
FBgn0264492,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,True
FBgn0031975,False,False,True,True,False,True,True,False,True,False,False,False,False,True,True,True
FBgn0011224,True,False,False,True,False,True,False,True,False,False,False,False,True,False,False,True
FBgn0033739,False,False,False,True,False,True,False,False,True,False,False,False,True,True,True,True
FBgn0053910,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
FBgn0013275,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
