"Input Order","Search Term","Human GeneID","HGNCID","Human Symbol","Species 2","Fly GeneID","Fly Species Gene ID","Fly Symbol","DIOPT Score","Weighted Score","Rank","Best Score","Best Score Reverse","Prediction Derived From","Alignment & Scores","Feedback","Gene2FunctionDetails"
"1","A4GALT","53947","18149","A4GALT","Fly","33512","FBgn0031491","alpha4GT1","14","13.74","high","Yes","Yes","Compara, eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam","","Add","alpha4GT1 details"
"1","A4GALT","53947","18149","A4GALT","Fly","43124","FBgn0039378","alpha4GT2","13","12.71","moderate","No","Yes","Compara, eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, TreeFam","","Add","alpha4GT2 details"
"2","AARS2","57505","21022","AARS2","Fly","38595","FBgn0028962","AlaRS-m","8","7.71","high","Yes","Yes","Compara, eggNOG, OrthoDB, OrthoFinder, orthoMCL, Panther, Phylome, TreeFam","","Add","AlaRS-m details"
"2","AARS2","57505","21022","AARS2","Fly","34156","FBgn0027094","AlaRS","4","3.9","moderate","No","No","eggNOG, OrthoFinder, orthoMCL, Panther","","Add","AlaRS details"
"3","AASS","10157","17366","AASS","Fly","34064","FBgn0286198","LKRSDH","15","14.75","high","Yes","Yes","Compara, eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam","","Add","LKRSDH details"
"3","AATK","9625","21","AATK","","none found","","","","","","","","","","",""
"4","ABAT","18","23","ABAT","Fly","40188","FBgn0036927","Gabat","15","14.75","high","Yes","Yes","Compara, eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam","","Add","Gabat details"
"5","ABCB6","10058","47","ABCB6","Fly","41925","FBgn0038376","Hmt-1","15","14.75","high","Yes","Yes","Compara, eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam","","Add","Hmt-1 details"
"5","ABCB6","10058","47","ABCB6","Fly","38193","FBgn0035244","ABCB7","3","2.81","low","No","No","eggNOG, OrthoDB, orthoMCL","","Add","ABCB7 details"
"5","ABCB6","10058","47","ABCB6","Fly","36821","FBgn0034110","Atg9","2","1.94","low","No","No","Compara, OMA","","Add","Atg9 details"
"6","ABCB7","22","48","ABCB7","Fly","38193","FBgn0035244","ABCB7","14","13.8","high","Yes","Yes","Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam","","Add","ABCB7 details"
"6","ABCB7","22","48","ABCB7","Fly","41925","FBgn0038376","Hmt-1","3","2.81","low","No","No","eggNOG, OrthoDB, orthoMCL","","Add","Hmt-1 details"
"7","ABCB8","11194","49","ABCB8","Fly","32208","FBgn0030403","CG1824","13","12.79","high","Yes","Yes","eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, TreeFam","","Add","CG1824 details"
"7","ABCB8","11194","49","ABCB8","Fly","30994","FBgn0023536","CG3156","4","3.81","moderate","No","No","eggNOG, OrthoDB, OrthoFinder, orthoMCL","","Add","CG3156 details"
"7","ABCB8","11194","49","ABCB8","Fly","38725","FBgn0035695","CG10226","2","2","low","No","No","eggNOG, Panther","","Add","CG10226 details"
"7","ABCB8","11194","49","ABCB8","Fly","38726","FBgn0004513","Mdr65","2","2","low","No","No","eggNOG, Panther","","Add","Mdr65 details"
"8","ABHD10","55347","25656","ABHD10","Fly","34458","FBgn0051872","CG31872","1","0.9","low","Yes","No","eggNOG","","Add","CG31872 details"
"8","ABHD10","55347","25656","ABHD10","Fly","41557","FBgn0038070","CG6753","1","0.9","low","Yes","No","eggNOG","","Add","CG6753 details"
"8","ABHD10","55347","25656","ABHD10","Fly","34460","FBgn0043825","CG18284","1","0.9","low","Yes","No","eggNOG","","Add","CG18284 details"
"8","ABHD10","55347","25656","ABHD10","Fly","43980","FBgn0024740","Lip2","1","0.9","low","Yes","No","eggNOG","","Add","Lip2 details"
"8","ABHD10","55347","25656","ABHD10","Fly","42645","FBgn0038974","CG5377","1","0.9","low","Yes","No","eggNOG","","Add","CG5377 details"
"8","ABHD10","55347","25656","ABHD10","Fly","34451","FBgn0032265","CG18301","1","0.9","low","Yes","No","eggNOG","","Add","CG18301 details"
"8","ABHD10","55347","25656","ABHD10","Fly","43135","FBgn0051089","CG31089","1","0.9","low","Yes","No","eggNOG","","Add","CG31089 details"
"8","ABHD10","55347","25656","ABHD10","Fly","43973","FBgn0023496","Lip1","1","0.9","low","Yes","No","eggNOG","","Add","Lip1 details"
"8","ABHD10","55347","25656","ABHD10","Fly","34461","FBgn0265264","CG17097","1","0.9","low","Yes","No","eggNOG","","Add","CG17097 details"
"8","ABHD10","55347","25656","ABHD10","Fly","34450","FBgn0032264","Lip4","1","0.9","low","Yes","No","eggNOG","","Add","Lip4 details"
