"Input Order","Search Term","Human GeneID","HGNCID","Human Symbol","Species 2","Fly GeneID","Fly Species Gene ID","Fly Symbol","DIOPT Score","Weighted Score","Rank","Best Score","Best Score Reverse","Prediction Derived From","Alignment & Scores","Feedback","Gene2FunctionDetails"
"0","A1BG","1","5","A1BG","","none found","","","","","","","","","","",""
"1","A2M","2","7","A2M","Fly","34045","FBgn0041181","Tep3","6","5.89","moderate","Yes","No","Compara, eggNOG, Isobase, OrthoDB, OrthoFinder, Panther","","Add","Tep3 details"
"1","A2M","2","7","A2M","Fly","35248","FBgn0041180","Tep4","5","4.94","moderate","No","No","Compara, eggNOG, OrthoDB, OrthoFinder, Panther","","Add","Tep4 details"
"1","A2M","2","7","A2M","Fly","34044","FBgn0041182","Tep2","5","4.94","moderate","No","No","Compara, eggNOG, OrthoDB, OrthoFinder, Panther","","Add","Tep2 details"
"1","A2M","2","7","A2M","Fly","34937","FBgn0041183","Tep1","5","4.94","moderate","No","No","Compara, eggNOG, OrthoDB, OrthoFinder, Panther","","Add","Tep1 details"
"1","A2M","2","7","A2M","Fly","35250","FBgn0264845","Tep5","5","4.94","moderate","No","No","Compara, eggNOG, OrthoDB, OrthoFinder, Panther","","Add","Tep5 details"
"1","A2M","2","7","A2M","Fly","44071","FBgn0267488","Mcr","4","4.01","moderate","No","Yes","eggNOG, OrthoDB, OrthoFinder, Panther","","Add","Mcr details"
"2","A2ML1","144568","23336","A2ML1","Fly","35248","FBgn0041180","Tep4","5","4.94","moderate","Yes","No","Compara, eggNOG, OrthoDB, OrthoFinder, Panther","","Add","Tep4 details"
"2","A2ML1","144568","23336","A2ML1","Fly","34044","FBgn0041182","Tep2","5","4.94","moderate","Yes","No","Compara, eggNOG, OrthoDB, OrthoFinder, Panther","","Add","Tep2 details"
"2","A2ML1","144568","23336","A2ML1","Fly","34937","FBgn0041183","Tep1","5","4.94","moderate","Yes","No","Compara, eggNOG, OrthoDB, OrthoFinder, Panther","","Add","Tep1 details"
"2","A2ML1","144568","23336","A2ML1","Fly","34045","FBgn0041181","Tep3","5","4.94","moderate","Yes","No","Compara, eggNOG, OrthoDB, OrthoFinder, Panther","","Add","Tep3 details"
"2","A2ML1","144568","23336","A2ML1","Fly","35250","FBgn0264845","Tep5","5","4.94","moderate","Yes","No","Compara, eggNOG, OrthoDB, OrthoFinder, Panther","","Add","Tep5 details"
"2","A2ML1","144568","23336","A2ML1","Fly","44071","FBgn0267488","Mcr","4","4.01","moderate","No","Yes","eggNOG, OrthoDB, OrthoFinder, Panther","","Add","Mcr details"
"3","AADACL2","344752","24427","AADACL2","Fly","37289","FBgn0034491","Hsl","2","1.91","moderate","Yes","No","eggNOG, OrthoDB","","Add","Hsl details"
"4","ABHD15","116236","26971","ABHD15","Fly","35930","FBgn0033382","Hydr1","2","1.91","moderate","Yes","No","eggNOG, OrthoDB","","Add","Hydr1 details"
"5","ABI3BP","25890","17265","ABI3BP","Fly","38522","FBgn0035522","CG1273","1","1.1","low","Yes","Yes","Panther","","Add","CG1273 details"
"5","ABI3BP","25890","17265","ABI3BP","Fly","33232","FBgn0031264","CG11835","1","0.91","low","Yes","No","Phylome","","Add","CG11835 details"
"5","ABO","28","79","ABO","","none found","","","","","","","","","","",""
"6","ACAN","176","319","ACAN","Fly","53552","FBgn0040107","lectin-21Ca","1","1.03","low","Yes","No","RoundUp","","Add","lectin-21Ca details"
"6","ACAN","176","319","ACAN","Fly","38141","FBgn0035199","tfc","1","1.03","low","Yes","No","RoundUp","","Add","tfc details"
"6","ACAN","176","319","ACAN","Fly","7354375","FBgn0259230","lectin-22C","1","1.03","low","Yes","No","RoundUp","","Add","lectin-22C details"
"6","ACAN","176","319","ACAN","Fly","33361","FBgn0051665","wry","1","1","low","Yes","No","Hieranoid","","Add","wry details"
"6","ACAN","176","319","ACAN","Fly","3771985","FBgn0046874","Pif1B","1","0.9","low","Yes","Yes","eggNOG","","Add","Pif1B details"
"7","ACE","1636","2707","ACE","Fly","34805","FBgn0012037","Ance","10","9.76","high","Yes","Yes","eggNOG, Isobase, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam","","Add","Ance details"
"7","ACE","1636","2707","ACE","Fly","34189","FBgn0016122","Acer","10","9.76","high","Yes","Yes","eggNOG, Isobase, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam","","Add","Acer details"
"7","ACE","1636","2707","ACE","Fly","34808","FBgn0032536","Ance-3","7","6.83","moderate","No","Yes","eggNOG, Isobase, OrthoDB, OrthoFinder, Panther, Phylome, TreeFam","","Add","Ance-3 details"
"7","ACE","1636","2707","ACE","Fly","34806","FBgn0032535","Ance-2","6","5.73","moderate","No","Yes","eggNOG, Isobase, OrthoDB, OrthoFinder, Phylome, TreeFam","","Add","Ance-2 details"
"7","ACE","1636","2707","ACE","Fly","37980","FBgn0035076","Ance-5","5","4.77","moderate","No","Yes","eggNOG, Isobase, OrthoDB, OrthoFinder, Phylome","","Add","Ance-5 details"
"7","ACE","1636","2707","ACE","Fly","35909","FBgn0033366","Ance-4","4","4.01","moderate","No","Yes","eggNOG, OrthoDB, OrthoFinder, Panther","","Add","Ance-4 details"
"8","ACE2","59272","13557","ACE2","Fly","34808","FBgn0032536","Ance-3","6","5.92","moderate","Yes","No","eggNOG, Inparanoid, OrthoFinder, Panther, Phylome, TreeFam","","Add","Ance-3 details"
"8","ACE2","59272","13557","ACE2","Fly","34805","FBgn0012037","Ance","6","5.92","moderate","Yes","No","eggNOG, Inparanoid, OrthoFinder, Panther, Phylome, TreeFam","","Add","Ance details"
"8","ACE2","59272","13557","ACE2","Fly","34189","FBgn0016122","Acer","6","5.92","moderate","Yes","No","eggNOG, Inparanoid, OrthoFinder, Panther, Phylome, TreeFam","","Add","Acer details"
"8","ACE2","59272","13557","ACE2","Fly","34806","FBgn0032535","Ance-2","4","3.77","moderate","No","No","eggNOG, OrthoFinder, Phylome, TreeFam","","Add","Ance-2 details"
"8","ACE2","59272","13557","ACE2","Fly","35909","FBgn0033366","Ance-4","3","3","low","No","No","eggNOG, OrthoFinder, Panther","","Add","Ance-4 details"
"8","ACE2","59272","13557","ACE2","Fly","37980","FBgn0035076","Ance-5","3","2.81","low","No","No","eggNOG, OrthoFinder, Phylome","","Add","Ance-5 details"
"9","ACP7","390928","33781","ACP7","Fly","32019","FBgn0030245","CG1637","14","13.8","high","Yes","Yes","Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam","","Add","CG1637 details"
"10","ACPP","55","125","ACPP","Fly","48445","FBgn0000032","Acph-1","11","10.93","moderate","Yes","No","Compara, eggNOG, Hieranoid, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, RoundUp","","Add","Acph-1 details"
"10","ACPP","55","125","ACPP","Fly","40117","FBgn0036875","CG9449","9","8.92","moderate","No","Yes","Compara, eggNOG, Hieranoid, Isobase, OrthoDB, OrthoFinder, OrthoInspector, Panther, RoundUp","","Add","CG9449 details"
"10","ACPP","55","125","ACPP","Fly","40119","FBgn0036877","CG9452","7","6.94","moderate","No","No","Compara, eggNOG, Hieranoid, OrthoDB, OrthoFinder, OrthoInspector, Panther","","Add","CG9452 details"
"10","ACPP","55","125","ACPP","Fly","42576","FBgn0038912","CG6656","6","6.04","moderate","No","Yes","eggNOG, Hieranoid, OrthoDB, OrthoFinder, Panther, RoundUp","","Add","CG6656 details"
